"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"in_out";"sex"
"50";"2001_21_lurøy-onøy";"2001_21";21;"2001_lurøy-onøy";2001;"lurøy-onøy";33;3;1998;"gene_new";NA;NA;"gene_new";1;61;61;4.11087386417331;1;0
"51";"2002_21_lurøy-onøy";"2002_21";21;"2002_lurøy-onøy";2002;"lurøy-onøy";33;4;1998;"yes";NA;NA;NA;1;12;12;2.484906649788;1;0
"52";"2003_21_lurøy-onøy";"2003_21";21;"2003_lurøy-onøy";2003;"lurøy-onøy";33;5;1998;"gene_new";NA;NA;"gene_new";0;20;20;2.99573227355399;1;0
"53";"1999_22_lovund";"1999_22";22;"1999_lovund";1999;"lovund";34;1;1998;"no";"obs";"capt";NA;1;44;44;3.78418963391826;0;1
"54";"2000_22_lovund";"2000_22";22;"2000_lovund";2000;"lovund";34;2;1998;"yes";NA;NA;NA;1;16;16;2.77258872223978;0;1
"55";"2001_22_lovund";"2001_22";22;"2001_lovund";2001;"lovund";34;3;1998;"no";"obs";NA;NA;1;8;8;2.07944154167984;0;1
"56";"2002_22_lovund";"2002_22";22;"2002_lovund";2002;"lovund";34;4;1998;"no";"obs";NA;NA;1;12;12;2.484906649788;0;1
"57";"2003_22_lovund";"2003_22";22;"2003_lovund";2003;"lovund";34;5;1998;"gene_new";NA;NA;"gene_new";1;44;44;3.78418963391826;0;1
"58";"2004_22_lovund";"2004_22";22;"2004_lovund";2004;"lovund";34;6;1998;"gene_new";NA;NA;"gene_new";0;51;51;3.93182563272433;0;1
"59";"1999_23_lurøy-onøy";"1999_23";23;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;0;108;108;4.68213122712422;1;0
"60";"1999_24_lurøy-onøy";"1999_24";24;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;0;108;108;4.68213122712422;1;1
"61";"1999_25_lurøy-onøy";"1999_25";25;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;0;108;108;4.68213122712422;1;1
"62";"1999_26_lurøy-onøy";"1999_26";26;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";NA;NA;0;108;108;4.68213122712422;1;0
"63";"1999_27_lurøy-onøy";"1999_27";27;"1999_lurøy-onøy";1999;"lurøy-onøy";33;1;1998;"no";"obs";"capt";NA;0;108;108;4.68213122712422;1;0
"64";"1999_28_hestmannøy";"1999_28";28;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;154;154;5.03695260241363;1;1
"65";"2000_28_hestmannøy";"2000_28";28;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";NA;"capt";NA;1;121;121;4.79579054559674;1;1
"66";"2001_28_hestmannøy";"2001_28";28;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";NA;"capt";NA;1;141;141;4.94875989037817;1;1
"67";"2002_28_hestmannøy";"2002_28";28;"2002_hestmannøy";2002;"hestmannøy";27;4;1998;"no";NA;"capt";NA;0;81;81;4.39444915467244;1;1
"68";"1999_29_hestmannøy";"1999_29";29;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;154;154;5.03695260241363;1;1
"69";"1999_30_hestmannøy";"1999_30";30;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;0;154;154;5.03695260241363;1;1
"70";"1999_31_hestmannøy";"1999_31";31;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;154;154;5.03695260241363;1;0
"71";"2000_31_hestmannøy";"2000_31";31;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";NA;"capt";NA;1;121;121;4.79579054559674;1;0
"72";"2001_31_hestmannøy";"2001_31";31;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";"capt";NA;1;141;141;4.94875989037817;1;0
"73";"2002_31_hestmannøy";"2002_31";31;"2002_hestmannøy";2002;"hestmannøy";27;4;1998;"no";NA;"capt";NA;0;81;81;4.39444915467244;1;0
"74";"1999_32_hestmannøy";"1999_32";32;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;154;154;5.03695260241363;1;1
"75";"2000_32_hestmannøy";"2000_32";32;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";NA;"capt";NA;1;121;121;4.79579054559674;1;1
"76";"2001_32_hestmannøy";"2001_32";32;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";NA;NA;1;141;141;4.94875989037817;1;1
"77";"2002_32_hestmannøy";"2002_32";32;"2002_hestmannøy";2002;"hestmannøy";27;4;1998;"no";NA;"capt";NA;1;81;81;4.39444915467244;1;1
"78";"2003_32_hestmannøy";"2003_32";32;"2003_hestmannøy";2003;"hestmannøy";27;5;1998;"yes";NA;NA;NA;1;191;191;5.25227342804663;1;1
"79";"2004_32_hestmannøy";"2004_32";32;"2004_hestmannøy";2004;"hestmannøy";27;6;1998;"no";NA;"capt";NA;1;88;88;4.47733681447821;1;1
"80";"2005_32_hestmannøy";"2005_32";32;"2005_hestmannøy";2005;"hestmannøy";27;7;1998;"no";NA;"capt";NA;0;166;166;5.11198778835654;1;1
"81";"1999_33_gjerøy";"1999_33";33;"1999_gjerøy";1999;"gjerøy";26;1;1998;"no";NA;"capt";NA;1;78;78;4.35670882668959;1;0
