"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_age_sq";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Own_survival";"estimated_pop_size";"N";"n";"zNR";"in_out";"sex";"N_nestlings";"N_Recruits";"r2s"
"52";"2008_29_nesøy";"2008_29";29;"2008_nesøy";2008;"nesøy";20;0;0;2007;"no";"obs";NA;NA;1;21;21;3.04452243772342;0.084375;1;0;7;1;3
"53";"2009_29_nesøy";"2009_29";29;"2009_nesøy";2009;"nesøy";20;1;1;2007;"no";"obs";NA;NA;1;17;17;2.83321334405622;-0.015625;1;0;9;2;4
"54";"2010_29_nesøy";"2010_29";29;"2010_nesøy";2010;"nesøy";20;2;4;2007;"no";"obs";"capt";NA;1;17;17;2.83321334405622;-0.015625;1;0;6;1;3
"55";"2011_29_nesøy";"2011_29";29;"2011_nesøy";2011;"nesøy";20;3;9;2007;"yes";NA;NA;NA;1;35;35;3.55534806148941;0.434375;1;0;3;0;2
"56";"2012_29_nesøy";"2012_29";29;"2012_nesøy";2012;"nesøy";20;4;16;2007;"no";"obs";"capt";NA;0;23;23;3.13549421592915;0.134375;1;0;8;3;3
"57";"2010_30_hestmannøy";"2010_30";30;"2010_hestmannøy";2010;"hestmannøy";27;2;4;2007;"no";NA;"capt";NA;0;214;214;5.36597601502185;1.103125;1;0;4;2;2
"58";"2008_31_gjerøy";"2008_31";31;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;0;3;0;2
"59";"2009_32_hestmannøy";"2009_32";32;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"gene_new";NA;NA;"gene_new";0;157;157;5.05624580534831;-0.321875;1;1;5;2;2
"60";"2007_33_myken";"2007_33";33;"2007_myken";2007;"myken";22;5;25;2001;"no";"obs";"capt";NA;0;32;32;3.46573590279973;0.221428571428571;0;1;2;0;0
"61";"2007_34_sleneset";"2007_34";34;"2007_sleneset";2007;"sleneset";35;5;25;2001;"gene_new";NA;NA;"gene_new";0;52;52;3.95124371858143;0.334375;0;0;5;1;1
"62";"2008_35_aldra";"2008_35";35;"2008_aldra";2008;"aldra";38;7;49;2000;"no";NA;"capt";NA;1;52;52;3.95124371858143;0.4875;1;1;2;0;2
"63";"2009_35_aldra";"2009_35";35;"2009_aldra";2009;"aldra";38;8;64;2000;"no";NA;"capt";NA;0;52;52;3.95124371858143;0.4875;1;1;1;0;0
"64";"2007_36_myken";"2007_36";36;"2007_myken";2007;"myken";22;5;25;2001;"no";"obs";NA;NA;0;32;32;3.46573590279973;0.221428571428571;0;1;2;0;0
"65";"2007_37_aldra";"2007_37";37;"2007_aldra";2007;"aldra";38;5;25;2001;"no";"obs";"capt";NA;1;43;43;3.76120011569356;0.2625;1;0;6;3;5
"66";"2008_37_aldra";"2008_37";37;"2008_aldra";2008;"aldra";38;6;36;2001;"no";"obs";"capt";NA;1;52;52;3.95124371858143;0.4875;1;0;5;2;4
"67";"2009_37_aldra";"2009_37";37;"2009_aldra";2009;"aldra";38;7;49;2001;"no";"obs";"capt";NA;0;52;52;3.95124371858143;0.4875;1;0;1;0;0
"68";"2009_38_hestmannøy";"2009_38";38;"2009_hestmannøy";2009;"hestmannøy";27;1;1;2007;"no";"obs";"capt";NA;1;157;157;5.05624580534831;-0.321875;1;1;1;2;4
"69";"2009_39_gjerøy";"2009_39";39;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;0;107;107;4.67282883446191;-0.596875;1;0;2;0;0
"70";"2008_40_myken";"2008_40";40;"2008_myken";2008;"myken";22;0;0;2007;"no";"obs";"capt";NA;0;22;22;3.09104245335832;-0.0285714285714286;0;0;2;0;0
"71";"2008_41_myken";"2008_41";41;"2008_myken";2008;"myken";22;0;0;2007;"no";"obs";NA;NA;1;22;22;3.09104245335832;-0.0285714285714286;0;0;2;0;2
"72";"2010_41_myken";"2010_41";41;"2010_myken";2010;"myken";22;2;4;2007;"no";"obs";"capt";NA;1;22;22;3.09104245335832;-0.0285714285714286;0;0;5;2;4
"73";"2011_41_myken";"2011_41";41;"2011_myken";2011;"myken";22;3;9;2007;"no";"obs";NA;NA;0;27;27;3.29583686600433;0.0964285714285714;0;0;6;0;0
"74";"2008_42_indre kvarøy";"2008_42";42;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";"capt";NA;0;68;68;4.21950770517611;-0.040625;1;1;2;1;1
"75";"2008_43_indre kvarøy";"2008_43";43;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"gene_new";NA;NA;"gene_new";0;68;68;4.21950770517611;-0.040625;1;1;4;0;0
"76";"2008_44_indre kvarøy";"2008_44";44;"2008_indre kvarøy";2008;"indre kvarøy";28;0;0;2007;"no";"obs";"capt";NA;0;68;68;4.21950770517611;-0.040625;1;0;3;1;1
"77";"2008_45_gjerøy";"2008_45";45;"2008_gjerøy";2008;"gjerøy";26;0;0;2007;"no";"obs";"capt";NA;1;121;121;4.79579054559674;-0.246875;1;1;5;1;3
"78";"2009_45_gjerøy";"2009_45";45;"2009_gjerøy";2009;"gjerøy";26;1;1;2007;"no";"obs";"capt";NA;1;107;107;4.67282883446191;-0.596875;1;1;8;3;5
"79";"2010_45_gjerøy";"2010_45";45;"2010_gjerøy";2010;"gjerøy";26;2;4;2007;"no";"obs";"capt";NA;1;136;136;4.91265488573605;0.128125;1;1;10;4;6
"80";"2011_45_gjerøy";"2011_45";45;"2011_gjerøy";2011;"gjerøy";26;3;9;2007;"no";"obs";NA;NA;1;144;144;4.969813299576;0.328125;1;1;1;0;2
"81";"2008_46_myken";"2008_46";46;"2008_myken";2008;"myken";22;0;0;2007;"no";"obs";NA;NA;0;22;22;3.09104245335832;-0.0285714285714286;0;1;5;0;0
"82";"2008_47_hestmannøy";"2008_47";47;"2008_hestmannøy";2008;"hestmannøy";27;0;0;2007;"no";NA;"capt";NA;1;153;153;5.03043792139244;-0.421875;1;0;3;1;3
"83";"2010_47_hestmannøy";"2010_47";47;"2010_hestmannøy";2010;"hestmannøy";27;2;4;2007;"yes";NA;NA;NA;1;214;214;5.36597601502185;1.103125;1;0;1;1;3
"84";"2011_47_hestmannøy";"2011_47";47;"2011_hestmannøy";2011;"hestmannøy";27;3;9;2007;"yes";NA;NA;NA;1;283;283;5.64544689764324;2.828125;1;0;1;3;5
"85";"2008_48_hestmannøy";"2008_48";48;"2008_hestmannøy";2008;"hestmannøy";27;1;1;2006;"no";NA;"capt";NA;1;153;153;5.03043792139244;-0.421875;1;0;1;0;2
"86";"2011_48_hestmannøy";"2011_48";48;"2011_hestmannøy";2011;"hestmannøy";27;4;16;2006;"no";"obs";NA;NA;0;283;283;5.64544689764324;2.828125;1;0;3;0;0
"87";"2008_49_myken";"2008_49";49;"2008_myken";2008;"myken";22;0;0;2007;"no";"obs";"capt";NA;1;22;22;3.09104245335832;-0.0285714285714286;0;1;6;2;4
"88";"2009_49_myken";"2009_49";49;"2009_myken";2009;"myken";22;1;1;2007;"no";"obs";NA;NA;1;13;13;2.56494935746154;-0.253571428571429;0;1;8;5;7
"89";"2010_49_myken";"2010_49";49;"2010_myken";2010;"myken";22;2;4;2007;"yes";NA;NA;NA;1;22;22;3.09104245335832;-0.0285714285714286;0;1;2;1;3
"90";"2011_49_myken";"2011_49";49;"2011_myken";2011;"myken";22;3;9;2007;"no";"obs";"capt";NA;0;27;27;3.29583686600433;0.0964285714285714;0;1;6;1;1
