sex;ID
0;3290
1;3306
0;3316
1;3326
0;3328
0;3331
0;3332
0;3335
1;3336
1;3339
0;3342
0;3347
0;3349
1;3350
0;3354
0;3355
1;3356
1;3357
1;3360
1;3361
0;3363
1;3371
1;3373
1;3374
1;3375
1;3376
0;3377
0;3378
1;3383
0;3385
1;3391
0;3397
1;3402
1;3408
1;3414
0;3416
0;3423
1;3424
1;3426
0;3428
0;3430
0;3438
0;3439
1;3440
1;3441
0;3442
1;3449
1;3451
0;3456
1;3457
1;3458
0;3460
0;3461
0;3463
0;3464
1;3466
0;3468
0;3475
0;3477
0;3481
0;3482
1;3485
1;3486
1;3488
1;3490
1;3494
0;3495
0;3496
1;3500
0;3502
1;3504
1;3505
1;3507
1;3508
0;3511
1;3512
0;3513
0;3515
1;3519
0;3522
0;3525
0;3526
0;3527
1;3528
1;3529
1;3533
0;3539
0;3542
0;3543
1;3546
0;3547
0;3549
0;3550
1;3551
1;3554
1;3561
1;3563
1;3567
1;3572
1;3577
0;3578
1;3579
1;3581
1;3588
1;3590
1;3591
1;3592
1;3593
1;3597
0;3599
1;3600
1;3602
1;3604
0;3607
0;3610
0;3612
0;3616
1;3617
1;3618
0;3622
1;3623
0;3624
0;3627
0;3628
1;3633
0;3636
0;3639
0;3640
1;3641
1;3642
1;3643
0;3646
1;3648
1;3649
0;3650
1;3651
1;3652
0;3653
0;3654
0;3655
0;3656
0;3658
0;3659
1;3661
0;3662
1;3664
1;3665
1;3666
0;3668
0;3669
0;3670
1;3672
0;3673
1;3674
0;3675
1;3676
1;3678
0;3680
1;3682
0;3683
0;3687
1;3688
0;3689
1;3691
0;3692
0;3693
1;3696
1;3697
1;3698
1;3699
1;3700
1;3701
0;3702
0;3707
0;3712
1;3714
1;3725
1;3728
0;3735
0;3738
0;3740
0;3744
0;3754
0;3764
1;3766
1;3787
0;3790
0;3802
0;3803
1;3804
0;3805
0;3806
1;3807
0;3808
1;3811
0;3816
1;3818
0;3819
1;3820
1;3822
0;3823
1;3827
0;3837
0;3846
1;3847
0;3860
0;3863
0;3869
0;3884
1;3906
0;3917
1;3918
0;3920
1;3922
0;3923
0;3924
0;3925
0;3926
1;3928
1;3929
0;3930
0;3934
1;3935
1;3940
0;3955
0;3957
0;3958
0;3959
1;3960
1;3961
1;3964
0;3968
0;3971
1;3974
1;3975
1;3981
0;3984
1;3987
0;3988
0;3989
0;3991
1;3994
1;3995
1;3996
0;4001
0;4009
0;4010
1;4011
1;4061
0;4062
1;4064
0;4065
1;4066
1;4067
0;4070
1;4072
0;4074
1;4075
1;4076
0;4100
0;4107
1;4109
1;4111
1;4113
0;4118
0;4125
0;4170
1;4180
1;4188
0;4190
0;4193
0;4198
0;4199
0;4205
0;4207
1;4211
0;4213
1;4216
0;4218
0;4219
0;4220
1;4221
1;4227
1;4229
1;4230
1;4233
0;4235
1;4245
0;4248
0;4249
0;4250
0;4251
1;4252
