"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"sex";"Own_survival";"N_Recruits";"r2s";"estimated_pop_size";"in_out";"n";"N";"Mean_N_isl";"zNR"
"65";"2000_28_hestmannøy";"2000_28";28;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";NA;"capt";NA;1;1;0;2;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"66";"2001_28_hestmannøy";"2001_28";28;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";NA;"capt";NA;1;1;0;2;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"67";"2002_28_hestmannøy";"2002_28";28;"2002_hestmannøy";2002;"hestmannøy";27;4;1998;"no";NA;"capt";NA;1;0;0;0;81;1;4.39444915467244;81;145.181818181818;-1.60454545454545
"68";"1999_29_hestmannøy";"1999_29";29;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;1;0;0;0;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"69";"1999_30_hestmannøy";"1999_30";30;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";NA;"capt";NA;1;0;0;0;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"70";"1999_31_hestmannøy";"1999_31";31;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;0;1;0;2;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"71";"2000_31_hestmannøy";"2000_31";31;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";NA;"capt";NA;0;1;0;2;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
"72";"2001_31_hestmannøy";"2001_31";31;"2001_hestmannøy";2001;"hestmannøy";27;3;1998;"no";"obs";"capt";NA;0;1;0;2;141;1;4.94875989037817;141;145.181818181818;-0.104545454545455
"73";"2002_31_hestmannøy";"2002_31";31;"2002_hestmannøy";2002;"hestmannøy";27;4;1998;"no";NA;"capt";NA;0;0;0;0;81;1;4.39444915467244;81;145.181818181818;-1.60454545454545
"74";"1999_32_hestmannøy";"1999_32";32;"1999_hestmannøy";1999;"hestmannøy";27;1;1998;"no";"obs";"capt";NA;1;1;0;2;154;1;5.03695260241363;154;145.181818181818;0.220454545454545
"75";"2000_32_hestmannøy";"2000_32";32;"2000_hestmannøy";2000;"hestmannøy";27;2;1998;"no";NA;"capt";NA;1;1;1;3;121;1;4.79579054559674;121;145.181818181818;-0.604545454545455
