"stage";"Year";"Location";"total"
"252";"fledge";2006;"indre kvarøy";32
"253";"fledge";2006;"lovund";9
"254";"fledge";2006;"myken";14
"255";"fledge";2006;"nesøy";14
"256";"fledge";2006;"selvær";14
"257";"fledge";2006;"sleneset";21
"258";"fledge";2006;"træna";89
"259";"fledge";2007;"aldra";28
"260";"fledge";2007;"gjerøy";88
"261";"fledge";2007;"hestmannøy";179
"262";"fledge";2007;"indre kvarøy";52
"263";"fledge";2007;"lovund";8
"264";"fledge";2007;"myken";14
"265";"fledge";2007;"nesøy";3
"266";"fledge";2007;"selvær";17
"267";"fledge";2007;"sleneset";11
"268";"fledge";2007;"træna";125
"269";"fledge";2008;"aldra";21
"270";"fledge";2008;"gjerøy";77
"271";"fledge";2008;"hestmannøy";132
"272";"fledge";2008;"indre kvarøy";53
"273";"fledge";2008;"lovund";26
"274";"fledge";2008;"myken";19
"275";"fledge";2008;"nesøy";6
"276";"fledge";2008;"selvær";33
"277";"fledge";2008;"sleneset";39
"278";"fledge";2008;"træna";40
"279";"fledge";2009;"aldra";22
"280";"fledge";2009;"gjerøy";77
"281";"fledge";2009;"hestmannøy";165
"282";"fledge";2009;"indre kvarøy";36
"283";"fledge";2009;"lovund";40
"284";"fledge";2009;"myken";16
"285";"fledge";2009;"nesøy";21
"286";"fledge";2009;"selvær";44
"287";"fledge";2009;"sleneset";51
"288";"fledge";2009;"træna";74
"289";"fledge";2010;"aldra";5
"290";"fledge";2010;"gjerøy";90
"291";"fledge";2010;"hestmannøy";134
"292";"fledge";2010;"indre kvarøy";58
"293";"fledge";2010;"lovund";42
"294";"fledge";2010;"myken";15
"295";"fledge";2010;"nesøy";14
"296";"fledge";2010;"selvær";54
"297";"fledge";2010;"sleneset";40
"298";"fledge";2010;"træna";63
"299";"fledge";2011;"aldra";18
"300";"fledge";2011;"gjerøy";123
"301";"fledge";2011;"hestmannøy";188
"302";"fledge";2011;"indre kvarøy";85
"303";"fledge";2011;"lovund";40
"304";"fledge";2011;"myken";43
"305";"fledge";2011;"nesøy";14
"306";"fledge";2011;"selvær";104
"307";"fledge";2011;"sleneset";24
"308";"fledge";2011;"træna";155
"309";"fledge";2012;"aldra";7
"310";"fledge";2012;"gjerøy";131
"311";"fledge";2012;"hestmannøy";55
"312";"fledge";2012;"indre kvarøy";49
"313";"fledge";2012;"lovund";35
"314";"fledge";2012;"myken";23
"315";"fledge";2012;"nesøy";4
"316";"fledge";2012;"selvær";38
"317";"fledge";2012;"sleneset";19
"318";"fledge";2012;"træna";91
"319";"fledge";2013;"aldra";9
"320";"fledge";2013;"gjerøy";64
"321";"fledge";2013;"hestmannøy";116
"322";"fledge";2013;"indre kvarøy";59
"323";"fledge";2013;"lovund";58
"324";"fledge";2013;"myken";12
"325";"fledge";2013;"nesøy";8
"326";"fledge";2013;"selvær";51
"327";"fledge";2013;"sleneset";48
"328";"fledge";2013;"træna";120
"329";"fledge";2014;"aldra";1
"330";"fledge";2014;"gjerøy";30
"331";"fledge";2014;"hestmannøy";66
"332";"fledge";2014;"indre kvarøy";63
"333";"fledge";2014;"lovund";47
"334";"fledge";2014;"nesøy";7
"335";"fledge";2014;"selvær";77
"336";"fledge";2014;"sleneset";69
"337";"fledge";2014;"træna";169
"338";"fledge";2015;"gjerøy";44
"339";"fledge";2015;"hestmannøy";47
"340";"fledge";2015;"indre kvarøy";42
"341";"fledge";2015;"lovund";27
"342";"fledge";2015;"myken";6
"343";"fledge";2015;"selvær";80
"344";"fledge";2015;"sleneset";17
"345";"fledge";2015;"træna";149
"346";"fledge";2016;"aldra";3
"347";"fledge";2016;"gjerøy";38
"348";"fledge";2016;"hestmannøy";71
"349";"fledge";2016;"indre kvarøy";72
"350";"fledge";2016;"lovund";73
"351";"fledge";2016;"myken";11
"352";"fledge";2016;"nesøy";8
"353";"fledge";2016;"selvær";61
"354";"fledge";2016;"sleneset";38
"355";"fledge";2016;"træna";192
"356";"fledge";2017;"aldra";3
"357";"fledge";2017;"gjerøy";7
"358";"fledge";2017;"hestmannøy";79
"359";"fledge";2017;"indre kvarøy";41
"360";"fledge";2017;"lovund";45
"361";"fledge";2017;"myken";3
"362";"fledge";2017;"nesøy";19
"363";"fledge";2017;"selvær";53
"364";"fledge";2017;"sleneset";55
"365";"fledge";2017;"træna";152
"366";"fledge";2018;"gjerøy";35
"367";"fledge";2018;"hestmannøy";57
"368";"fledge";2018;"indre kvarøy";22
"369";"fledge";2018;"lovund";19
"370";"fledge";2018;"myken";9
"371";"fledge";2018;"nesøy";17
"372";"fledge";2018;"selvær";45
"373";"fledge";2018;"sleneset";34
"374";"fledge";2018;"træna";112
"375";"fledge";2019;"gjerøy";42
"376";"fledge";2019;"hestmannøy";131
"377";"fledge";2019;"indre kvarøy";10
"378";"fledge";2019;"lovund";63
"379";"fledge";2019;"myken";14
"380";"fledge";2019;"nesøy";2
"381";"fledge";2019;"selvær";51
"382";"fledge";2019;"sleneset";46
"383";"nest";1998;"gjerøy";59
"384";"nest";1998;"hestmannøy";109
"385";"nest";1998;"indre kvarøy";36
"386";"nest";1998;"nesøy";18
"387";"nest";1999;"aldra";5
"388";"nest";1999;"gjerøy";50
"389";"nest";1999;"hestmannøy";94
"390";"nest";1999;"indre kvarøy";46
"391";"nest";1999;"lovund";91
"392";"nest";1999;"nesøy";18
"393";"nest";1999;"selvær";113
"394";"nest";1999;"sleneset";77
"395";"nest";1999;"træna";85
"396";"nest";2000;"aldra";17
